[2026-02-21T21:37:49.982Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu config ouvert
[2026-02-21T21:37:56.991Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config logs | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Salon de logs désactivé
[2026-02-21T21:38:04.123Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config logs | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Salon de logs désactivé
[2026-02-21T21:38:38.899Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config logs | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Logs visuels activés
[2026-02-21T21:38:41.224Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config logs | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Logs visuels désactivés
[2026-02-21T21:48:26.154Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu config ouvert
[2026-02-21T21:48:29.951Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config logs | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Logs désactivés
[2026-02-21T21:48:31.945Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config logs | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Logs activés
[2026-02-21T21:48:35.723Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config logs | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Logs visuels activés
[2026-02-21T21:49:49.933Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle personnaliser | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Couleur mise à jour : `#FF2E2E`.
[2026-02-21T21:49:56.416Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle déployer | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Mis à jour dans <#1474859226127138837>
[2026-02-21T21:50:10.339Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle personnaliser | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Couleur retirée.
[2026-02-21T21:50:19.913Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config rôle déployer | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Mis à jour dans <#1474859226127138837>
[2026-02-21T21:51:57.149Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu config ouvert
[2026-02-21T22:09:48.098Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /rgpd | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu RGPD ouvert
[2026-02-21T22:10:09.301Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /rgpd infos | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Infos RGPD consultées
[2026-02-21T22:10:15.557Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu config ouvert
[2026-02-21T22:10:37.199Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config logs | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Salon de logs défini : <#1474857686704193546>
[2026-02-21T22:10:48.990Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config logs | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Logs désactivés
[2026-02-21T22:10:50.988Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config logs | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Logs activés
[2026-02-21T22:11:07.101Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /config logs | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Logs visuels désactivés
[2026-02-21T22:15:50.774Z] [DENIED] User: bryan_drouet (598076783186935808) | Cmd: /config | Guild: undefined (null) | Channel: 1474892251938160703 | Detail: Pas admin du bot
[2026-02-21T22:26:25.695Z] [SUCCESS] User: bryan_drouet (598076783186935808) | Cmd: /rgpd | Guild: Tests (1474820217627480080) | Channel: 1474831860231180328 | Detail: Menu RGPD ouvert
